; The format of this file is
;
;    PhraseType,PHRASE
;
; PhraseType appears in the "Hints" box
; PHRASE is the phrase to guess
;
Saying,THERE'S NO PLACE LIKE HOME
Saying,THANK GOD IT'S FRIDAY
Saying,BREAK A LEG
Saying,ALL'S WELL THAT ENDS WELL
Saying,YOU CAN'T TAKE IT WITH YOU
Saying,THAT'S THE WAY THE COOKIE CRUMBLES
Saying,DON'T CRY OVER SPILLED MILK
Saying,QUIET AS A CHURCH MOUSE
Saying,DEAD AS A DOORNAIL
Saying,COLD AS ICE
Saying,EXCUSE ME
Saying,BLESS YOU
Saying,SEE YOU LATER
Saying,GOOD MORNING
Saying,TIME TO GET UP
Saying,DEAD AS A DOORNAIL
Saying,STRONG AS AN OX
Saying,THANK YOU
Saying,PAIN IN THE NECK
Saying,LOOK BOTH WAYS BEFORE CROSSING
Saying,WISH UPON A STAR
Saying,OVER THE RAINBOW
Saying,GOOD LUCK
Saying,KEEP YOUR NOSE TO THE GRINDSTONE
Saying,GOOD THINGS COME TO THOSE WHO WAIT
Saying,LIKE TWO PEAS IN A POD
Saying,HARD AS A ROCK
Saying,TRANSPARENT AS GLASS
Saying,SKINNY AS A RAIL
Saying,CHILLED TO THE BONE
Saying,ANYONE FOR TENNIS
Saying,THE CATS OUT OF THE BAG
Saying,THE CHECKS IN THE MAIL
Saying,TWO COMPANY THREES A CROWD
Saying,IT WILL NEVER FLY
Saying,YOU'RE IN FOR IT NOW
Saying,EVERY CLOUD HAS A SILVER LINING
Saying,CLEAN AS A WHISTLE
Saying,ONCE BITTEN TWICE SHY
Saying,YOU CAN'T ALWAYS GET WHAT YOU WANT
Saying,WHAT GOES UP MUST COME DOWN
Saying,SNUG AS A BUG IN A RUG
Saying,DOG DAY AFTERNOON
Person,CARPENTER'S APPRENTICE
Person,BRICK LAYER
Person,KING OF ENGLAND
Person,COMPUTER PROGRAMMER
Person,DOCTOR OF MEDICINE
Person,KINDERGARDEN TEACHER
Person,HOLLYWOOD STAR
Person,MILITARY POLICE
Person,PARK RANGER
Person,QUEEN ELIZABETH
Person,IMMIGRANT
Person,ILLEGAL ALIEN
Person,DENTAL ASSISTANT
Person,SKYDIVER
Place,SCHOOL PLAYGROUND
Place,ATLANTIC OCEAN
Place,OUTER SPACE
Place,BEDROOM CLOSET
Place,GROCERY STORE
Place,PUBLIC LIBRARY
Place,UNIVERSITY OF SOUTHERN CALIFORNIA
Place,ELLIS ISLAND
Place,BROOKLYN BRIDGE
Place,FLORIDA KEYS
Thing,SPACE SHUTTLE
Thing,TELEPHONE ANSWERING MACHINE
Thing,OAK TREE
Thing,AIRCRAFT CARRIER
Thing,WEDDING GIFT
Thing,EXTENSION CORD
Thing,COMBAT BOOTS
Thing,SOAP SCUM
Thing,FIRST CLASS MAIL
Thing,WINDSOR CASTLE
Thing,ROCKING CHAIR
Thing,THROW RUG
Thing,KITTY LITTER
Thing,GRANDFATHER'S CLOCK
Thing,FUR COAT
Thing,FLOPPY DISK
Thing,HANDICAPPED ZONE
Thing,CLOTHES DRYER
Thing,JUNIOR HIGH SCHOOL
Thing,COUCH POTATO
Thing,SONIC BOOM
Thing,COOKIE JAR
Thing,SCENIC VIEW
Thing,NERVOUS HABIT
Thing,ICE CREAM CONE
Thing,LICENSE PLATE
Thing,PARKING TICKET
Thing,DRIVER'S LICENSE
Thing,MICROWAVE OVEN
Thing,HOT DOG BUN
Thing,FRENCH FRIED POTATOES
Thing,LONG HAIRED CAT
Thing,OPTICAL ILLUSION
Thing,TELEVISION RERUN
Thing,FRESHWATER FISH
Thing,HOT AIR BALLOON
Thing,MANUFACTURER'S WARRANTY
Thing,BULLETIN BOARD SERVICE
Thing,STATUE OF LIBERTY
Thing,MAIL ORDER CATALOG
Thing,SOFT DRINK
Thing,SODA POP
Thing,AUTOMATIC DISHWASHER
Thing,BURGLER ALARM
Thing,COMPUTER CIRCUIT
Thing,TOXIC WASTE
Thing,POST OFFICE BOX
Thing,LOUISIANA RIVER BOAT
Event,WORLD WAR II
Event,NEW YEAR'S EVE
Event,HIGH SCHOOL GRADUATION
Event,BASKETBALL GAME
Event,THE GREAT DEPRESSION
Event,APRIL FOOL'S DAY
Event,BATTLE OF WATERLOO
Event,ROLL CALL
Event,PAY DAY
Event,THE WEEKEND
Event,LUNAR ECLIPSE
Event,DAY AT THE RACES
Event,BABY SHOWER
Event,OPENING NIGHT
Event,HIGH TIDE
